Log10scanRate,Log10kf,Log10keq,peak flux,half peak potential,half peak transfer coefficient
-3.0,3.600000000000003,-8.0,-0.03352956957475421,-4.925000000000223,-0.2181955423193085
-3.0,4.6000000000000005,-8.0,-0.06411741401985285,-7.5550000000001685,-0.15235942044803932
-3.0,5.6000000000000005,-8.0,-0.09465488148643302,-9.555000000000401,-0.12481632834325405
-3.0,0.7999999999998669,-8.0,-0.005628383487449933,-0.675000000000306,-0.46286855981003644
-3.0,1.799999999999867,-8.0,-0.009533704956921041,-1.5700000000002938,-0.37856084646462856
-3.0,2.8000000000000047,-8.0,-0.018756613097004996,-3.1550000000002605,-0.2805089846072011
-3.0,3.7999999999999976,-8.0,-0.03866700986808013,-5.435000000000212,-0.20300205975063867
-3.0,4.800000000000001,-8.0,-0.07095010385954703,-8.045000000000165,-0.14383859400920213
-3.0,5.800000000000001,-8.0,-0.09915101053494384,-9.81000000000044,-0.12261546610828263
-3.0,-2.0,-7.8326826652518236,-0.003962211580315983,-0.03000000000030558,-0.4941282096059043
-3.0,-1.8000000006743975,-7.8326826652518236,-0.003996733481442973,-0.03500000000030558,-0.49505495178781467
-3.0,-1.600000000261,-7.8326826652518236,-0.004039839325638021,-0.045000000000305566,-0.495243315523179
-3.0,-1.3999999995129109,-7.8326826652518236,-0.004093567214401764,-0.060000000000305566,-0.4948002675659249
-3.0,-1.200000000330522,-7.8326826652518236,-0.004160393426644257,-0.07500000000030557,-0.4951008269690145
-3.0,-1.0,-7.8326826652518236,-0.004243307274678777,-0.0950000000003056,-0.49502541026804275
-3.0,-0.8000000001263549,-7.8326826652518236,-0.004345892172608086,-0.1200000000003056,-0.49472107267412285
-3.0,-0.5999999999152085,-7.8326826652518236,-0.004472412375085381,-0.15000000000030564,-0.49433314351798385
-3.0,-0.3999999999492702,-7.8326826652518236,-0.004627905950983439,-0.18500000000030567,-0.49400428558412157
-3.0,-0.19999999998636683,-7.8326826652518236,-0.004818287088446908,-0.2300000000003057,-0.49261508683507543
-3.0,0.0,-7.8326826652518236,-0.005050465215595154,-0.2850000000003057,-0.4902770979096611
-3.0,0.20000000001065574,-7.8326826652518236,-0.005332494642269699,-0.3500000000003058,-0.4870711441597382
-3.0,1.0,-7.8326826652518236,-0.007173843398784375,-0.7500000000003061,-0.45727201089192665
-3.0,2.0,-7.8326826652518236,-0.01240915412173551,-1.6950000000002914,-0.3739513847134015
-3.0,3.0,-7.8326826652518236,-0.024649024554902976,-3.2850000000002577,-0.28599258389667426
-3.0,4.0,-7.8326826652518236,-0.05089744621094218,-5.480000000000211,-0.2129164357315051
